Qualification,Employment_Status,Count
Postgraduate Degree,Employed Full-time,1191.2
Postgraduate Degree,Employed Part-time,328.4
Postgraduate Degree,Unemployed,44.0
Graduate Diploma,Employed Full-time,364.0
Graduate Diploma,Employed Part-time,154.2
Graduate Diploma,Unemployed,3.3
Bachelor Degree,Employed Full-time,2523.1
Bachelor Degree,Employed Part-time,924.8
Bachelor Degree,Unemployed,80.1
Advanced Diploma,Employed Full-time,1014.8
Advanced Diploma,Employed Part-time,429.2
Advanced Diploma,Unemployed,36.6
Certificate III/IV,Employed Full-time,1814.2
Certificate III/IV,Employed Part-time,616.6
Certificate III/IV,Unemployed,89.3
Certificate I/II,Employed Full-time,137.1
Certificate I/II,Employed Part-time,87.4
Certificate I/II,Unemployed,15.0
Certificate nfd,Employed Full-time,95.4
Certificate nfd,Employed Part-time,33.4
Certificate nfd,Unemployed,1.8